wallet,signature,timestamp,slot,fee,type,source,transfer_type,from,to,amount,token_mint,direction
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,3cwQUEZSYcpNKuAo3bgqWFug21RCbwy2PGAMDEFUai7GTkbNmxC44VfeJwy8BvLG89tBSSUJe8cxMF1eFs5rWPQV,1741277871,324994864,5000,UNKNOWN,UNKNOWN,native,CGuVKYBsHjj8ZvYnePsV41Vfix8Krf3mthZKS8bnzfJK,3LKNJZ3QdDj9kPQQqBk5Hs3L2MKsPipWcKPsNxExxZbi,0.00207408,,external
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,3cwQUEZSYcpNKuAo3bgqWFug21RCbwy2PGAMDEFUai7GTkbNmxC44VfeJwy8BvLG89tBSSUJe8cxMF1eFs5rWPQV,1741277871,324994864,5000,UNKNOWN,UNKNOWN,token,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,3LKNJZ3QdDj9kPQQqBk5Hs3L2MKsPipWcKPsNxExxZbi,20546.0,CyWGEiPFeKCFHvbie54Kuu7RgM86HBqkQBbLPRLRunD5,
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,3cwQUEZSYcpNKuAo3bgqWFug21RCbwy2PGAMDEFUai7GTkbNmxC44VfeJwy8BvLG89tBSSUJe8cxMF1eFs5rWPQV,1741277871,324994864,5000,UNKNOWN,UNKNOWN,token,CGuVKYBsHjj8ZvYnePsV41Vfix8Krf3mthZKS8bnzfJK,FmCR9mk8Zyso6LZwhfcRjeyERARVWB8cTcoXcPTQjwYa,-20546.0,CyWGEiPFeKCFHvbie54Kuu7RgM86HBqkQBbLPRLRunD5,
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,4jESLP3UhMhWwYLXMhLgb6GscQgi4kiGiQinoUohP5cm2K33okyZNWTaF9Mgz4ov4Vcvn12kRzKWQJVB1J7J5Usy,1741003466,324303132,5000,TRANSFER,SYSTEM_PROGRAM,native,8TmahKEofmSCAxQQ6mWTXqVKPsUTt8sZYeiVrRUFDNoi,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,0.030392957,,inflow
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,65yNcbXjzcDb8j5WsAb2mVFBHY4fu8VCVskB7y1XqPU9riG6RCiRLDULAJnEULw8pwP6yU2kLEkQsV8JzjLFXFCZ,1741002946,324301815,5000,TRANSFER,SYSTEM_PROGRAM,native,BV4cmg5A3H6UKCmfbTxHpbJ7gAUvXdpbjLqhBNnGTp5M,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,0.577159719,,inflow
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,4rdMaQ4VtnTugJUyAZtDQ8wgJdnLxBN8v2AdotBrYXq8tz475KuN6r2VSxpGqfTEeUictbToTfLNabRde9K9sZ2y,1740992713,324275948,5000,TRANSFER,SYSTEM_PROGRAM,native,CyHwBLfCBgkjBhNzmT2T6YRkMGts3DVvLd7KUhvsFfTj,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,0.064159904,,inflow
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,2QbVD9haLYC8o2ae3RSoU5Kuanygmbs4paxoXBJGpuyGCNDBmiRaZwpC78ZLYb17prArv1Ah5n8kvnKNUNfrE6bF,1740992369,324275074,5000,TRANSFER,SYSTEM_PROGRAM,native,AhF1cpgeqtTYBz7iitEDEKjP98rNjfo9q5QF2wuHBoU4,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,0.058981053,,inflow
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,2DSMWLnSNHipE1xMX1rqoqPUabWD4oztLkxZQxSTixhXzndvCwnxNb1fxL8tTbaCq1nFRrkjmCZq86L1YQyBQ4UC,1740975868,324233352,5000,TRANSFER,SYSTEM_PROGRAM,native,9DCuDKJzNbV9ZCVa2rLvFf3KJLrJ5u5vTwaq1y3xKkbN,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,0.096314568,,inflow
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,5WcerfC2BfLoN6Cntx3CmQamKCC2XDAcGFizqtT53qi6FT687pPN49SDREwAm3W3ZTMDGiUJoK28FCbqKtvMipz2,1740975667,324232840,5000,TRANSFER,SYSTEM_PROGRAM,native,EoB2SAAizRNS5qB2LtuU7ssKrSqMXjermovcuBrfNsgG,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,0.042691009,,inflow
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,2e8x2vfnhxQVrhR1ufoiePGVJgXT2uyDiY1w4a3kBNyCz5LPeb5uNqJDMXF1VvXoMSrYc4Xy3KAJZXFKSTafz3NU,1740974892,324230888,5000,TRANSFER,SYSTEM_PROGRAM,native,49c2NuYSBKGcSnqJqAUgfVoVwdos9mgAjgzP7CZ8jHyd,Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,0.059296249,,inflow
