wallet_address,total_transactions,inflow,outflow,inflow_outflow_ratio,duration_days,transactions_per_day,minted_tokens,avg_mint_time,early_pump_and_dump_flag,risk_score,risk_label
25S13Dzogrcq49EMUdhkhsfUBFSSAgTHJTgcWfcY51nG,96,617.3939,1047.4451,0.5894,1.27,75.8,0.0,0.0,0,2,1
2P7CZCzXynAq5PYgs3WHZnJ3XgWneQ5mTub2QCH4vQ13,54,8.8534,65.664,0.1348,0.0,51840.0,2.0,0.42745098039215684,0,2,1
2bFRjjbGHwLHioHKePHxWcZmhgin2fJS7APagagTEn3k,126,0.0,269.4607,0.0,0.29,430.51,0.0,0.0,0,3,1
2c5WdJJZtcgtguNqRKaHPi2JqaUXCkVA7w8hwX2yq9Dn,73,263.8722,494.0605,0.5341,0.37,197.74,0.0,0.0,0,2,1
2rptxFkDpPodk4kMpJ7YXXSkchfpJ9v2MDTxFJ2osHEX,3,0.0877,0.086,1.0206,0.03,100.31,0.0,0.0,0,2,1
3VoTsHVWApR4t4sKJHbRGs2YGzE7qGQEwU85GkohueNe,60,40.3566,955.9569,0.0422,0.09,660.05,2.0,200.83888888888887,0,1,0
3qis3eG4JPqk4Eoxg8R9ogJ7doEETSZmKxqWjCWaWe79,60,87.9051,952.2865,0.0923,0.0,64800.0,0.0,0.0,0,2,1
5FRGPJgGWbHwqNBzc3VPB9QJ8ZYHVfJf79dxhdBbdtfJ,60,261.7925,881.5425,0.297,0.0,65620.25,0.0,0.0,0,2,1
5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,200,0.0,0.0,0.0,0.0,17280000.0,0.0,0.0,0,3,1
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,38,0.0,0.0,inf,0.0,38.0,7.0,9960.36862745098,0,2,1
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,27,0.0,23.7619,0.0,0.0,40220.69,1.0,130912.23333333334,0,1,0
73hZsLHDXkv9hVEUTGGeQtNSG5zaQUMnkRQMYRiqFfJY,50,5.6068,16.0,0.3504,10.58,4.73,0.0,0.0,0,1,0
7HdZJzZV1Va6H2KvyYCym6q7j5BmEdHz7ikUkdNfuGcz,45,0.7022,15.5325,0.0452,0.01,5355.37,11.0,-56049.677777777775,0,2,1
7ZypHtPBQjnf8r7VUaaFSurHdbagG6stmGaA9MsKcGXu,1,0.086,0.0,inf,0.0,1.0,0.0,0.0,0,2,1
7uayHqA68uxnC6M4E96jgscL9X7ErtkdSUTU6qcxVkqj,2,0.0863,0.0863,1.0002,0.0,464.52,0.0,0.0,0,2,1
8UjUoFjYCGgHYjFhagec1g6ky7TLgxzBozbS8WExzF6i,104,0.0,756.4449,0.0,0.0,599040.0,0.0,0.0,0,3,1
9Y75YHyA8GBAaMsFNqfAEChfwxyvVhgVihkK9NPRWXkS,3,0.6018,0.0,inf,5.87,0.51,0.0,0.0,0,2,1
9di29gYZ5peS6WnzFxagv12s1ZY1cq7mbB6NppGr2bCg,66,277.7792,957.4996,0.2901,0.0,72182.28,0.0,0.0,0,2,1
9yj3zvLS3fDMqi1F8zhkaWfq8TZpZWHe6cz1Sgt7djXf,384,0.0001,0.0,inf,0.04,9160.02,0.0,0.0,0,4,1
AeVFx7hScNvFKLZbdBSKMWkH7ktHLMoUmpHVPUU9pLZH,67,131.2629,879.4138,0.1493,0.0,70595.12,0.0,0.0,0,2,1
Be9RC2UC4GkV97XHe31aEULMXpex5ZbDt1cUGiwZjoEg,24,1.9977,0.0,inf,3.51,6.83,1.0,0.0,0,2,1
D7T9BcL2rrPfzXkYMjNpWZ5JVoVbxz6Tfw8A5XotVCFj,76,79.6681,521.8834,0.1527,0.0,182400.0,0.0,0.0,0,2,1
FDbUZxSkANsfpRvAPNHt3qRTbYi9CexBBuk5eH7crcdg,55,13.2932,90.0996,0.1475,0.0,60923.08,2.0,0.5324074074074074,0,2,1
FGJiPiTdKTCdpxLPnuBcXnhsfxzcJsMzqMRJbK9N7zvo,3,3.8579,3.8574,1.0001,0.04,78.28,0.0,0.0,0,2,1
FHrkxyAQYDRWAKo6fo93o58fPeYriwCDfipg24225WJU,57,104.803,812.2004,0.129,0.03,2253.91,2.0,72.93666666666667,0,1,0
G2w2VYdiJXe4PJDrfWGxtvpt4JMBfMmaq74YkQkj1RSS,75,0.0,0.0,inf,1.9,39.52,2.0,1128.5893939393939,0,2,1
G37AVd8MgtNd7jrX1n8SGiQZehZNdQNUWLS46qu29qq4,86,0.0,368.0848,0.0,0.0,323060.87,0.0,0.0,0,2,1
GT9ifbUgGbRoVYi41mSAeNaWtE1tej7TnsGo5V28VeYS,60,51.9205,884.963,0.0587,0.0,58247.19,0.0,0.0,0,2,1
GesXXhfSKt4Pt8uEmv4k9sCqmBaZUQJx8diYtsxY3ybi,93,2.6887,2.6795,1.0034,10.74,8.66,2.0,-12351.158333333333,0,1,0
GfHViFGvDqhzbaRHYmCgJ9SmBSqQ4gPxDdRfSw1VK1qR,60,344.9158,814.334,0.4236,0.01,7634.76,0.0,0.0,0,2,1
Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,20,0.0,0.0,inf,0.01,1542.86,1.0,9.45,0,2,1
QQ7MY8ZVBGynwsdG4zmEZM1s6zdQ9PnV4PCMat3cw3x,60,102.2336,898.1044,0.1138,0.0,178758.62,1.0,2.0166666666666666,0,2,1
fLiPgg2yTvmgfhiPkKriAHkDmmXGP6CdeFX9UF5o7Zc,10,0.2062,0.5005,0.4119,19.79,0.51,0.0,0.0,0,1,0
gtaPm2UoHkc9smB7kNgST8To8mrTGX5T7fes8rtcWZR,60,80.754,956.9134,0.0844,0.0,31609.76,0.0,0.0,0,2,1
